cuerpo,fecha,sesión,asamblea,número,votante,voto
Senado,2021-03-08,1ra Sesión Ordinaria,19ma Asamblea Legislativa,11,"Aponte Dalmau, Javier",A favor
Senado,2021-03-08,1ra Sesión Ordinaria,19ma Asamblea Legislativa,11,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-03-08,1ra Sesión Ordinaria,19ma Asamblea Legislativa,11,"Dalmau Santiago, José L.",A favor
Senado,2021-03-08,1ra Sesión Ordinaria,19ma Asamblea Legislativa,11,"García Montes, Ada",A favor
Senado,2021-03-08,1ra Sesión Ordinaria,19ma Asamblea Legislativa,11,"González Arroyo, Migdalia",A favor
Senado,2021-03-08,1ra Sesión Ordinaria,19ma Asamblea Legislativa,11,"González Huertas, Marially",A favor
Senado,2021-03-08,1ra Sesión Ordinaria,19ma Asamblea Legislativa,11,"Hau, Gretchen",A favor
Senado,2021-03-08,1ra Sesión Ordinaria,19ma Asamblea Legislativa,11,"Jiménez Santoni, Marissa",A favor
Senado,2021-03-08,1ra Sesión Ordinaria,19ma Asamblea Legislativa,11,"Matias Rosario, Gregorio",A favor
Senado,2021-03-08,1ra Sesión Ordinaria,19ma Asamblea Legislativa,11,"Morán Trinidad, Nitza",A favor
Senado,2021-03-08,1ra Sesión Ordinaria,19ma Asamblea Legislativa,11,"Neumann Zayas, Henry",Ausente
Senado,2021-03-08,1ra Sesión Ordinaria,19ma Asamblea Legislativa,11,"Padilla Alvelo, Migdalia",A favor
Senado,2021-03-08,1ra Sesión Ordinaria,19ma Asamblea Legislativa,11,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-03-08,1ra Sesión Ordinaria,19ma Asamblea Legislativa,11,"Riquelme Cabrera, Keren",A favor
Senado,2021-03-08,1ra Sesión Ordinaria,19ma Asamblea Legislativa,11,"Rivera Lassén, Ana Irma",A favor
Senado,2021-03-08,1ra Sesión Ordinaria,19ma Asamblea Legislativa,11,"Rivera Schatz, Thomas",A favor
Senado,2021-03-08,1ra Sesión Ordinaria,19ma Asamblea Legislativa,11,"Rodriguez Veve, Joanne",A favor
Senado,2021-03-08,1ra Sesión Ordinaria,19ma Asamblea Legislativa,11,"Rosa Vélez, Elizabeth",A favor
Senado,2021-03-08,1ra Sesión Ordinaria,19ma Asamblea Legislativa,11,"Ruiz Nieves, Ramón",A favor
Senado,2021-03-08,1ra Sesión Ordinaria,19ma Asamblea Legislativa,11,"Santiago Negrón, María de L.",A favor
Senado,2021-03-08,1ra Sesión Ordinaria,19ma Asamblea Legislativa,11,"Soto Rivera, Rubén",A favor
Senado,2021-03-08,1ra Sesión Ordinaria,19ma Asamblea Legislativa,11,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-03-08,1ra Sesión Ordinaria,19ma Asamblea Legislativa,11,"Torres Berríos, Albert",A favor
Senado,2021-03-08,1ra Sesión Ordinaria,19ma Asamblea Legislativa,11,"Trujillo Plumey, Rosamar",A favor
Senado,2021-03-08,1ra Sesión Ordinaria,19ma Asamblea Legislativa,11,"Vargas Vidot, José A.",A favor
Senado,2021-03-08,1ra Sesión Ordinaria,19ma Asamblea Legislativa,11,"Villafañe Ramos, William E.",A favor
Senado,2021-03-08,1ra Sesión Ordinaria,19ma Asamblea Legislativa,11,"Zaragoza Gomez, Juan",A favor
Senado,2021-03-08,1ra Sesión Ordinaria,19ma Asamblea Legislativa,11,"Aponte Dalmau, Javier",A favor
Senado,2021-03-08,1ra Sesión Ordinaria,19ma Asamblea Legislativa,11,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-03-08,1ra Sesión Ordinaria,19ma Asamblea Legislativa,11,"Dalmau Santiago, José L.",A favor
