cuerpo,fecha,sesión,asamblea,número,votante,voto
Senado,2021-03-15,1ra Sesión Ordinaria,19ma Asamblea Legislativa,13,"Aponte Dalmau, Javier",A favor
Senado,2021-03-15,1ra Sesión Ordinaria,19ma Asamblea Legislativa,13,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-03-15,1ra Sesión Ordinaria,19ma Asamblea Legislativa,13,"Dalmau Santiago, José L.",A favor
Senado,2021-03-15,1ra Sesión Ordinaria,19ma Asamblea Legislativa,13,"García Montes, Ada",A favor
Senado,2021-03-15,1ra Sesión Ordinaria,19ma Asamblea Legislativa,13,"González Arroyo, Migdalia",A favor
Senado,2021-03-15,1ra Sesión Ordinaria,19ma Asamblea Legislativa,13,"González Huertas, Marially",A favor
Senado,2021-03-15,1ra Sesión Ordinaria,19ma Asamblea Legislativa,13,"Hau, Gretchen",A favor
Senado,2021-03-15,1ra Sesión Ordinaria,19ma Asamblea Legislativa,13,"Jiménez Santoni, Marissa",A favor
Senado,2021-03-15,1ra Sesión Ordinaria,19ma Asamblea Legislativa,13,"Matias Rosario, Gregorio",A favor
Senado,2021-03-15,1ra Sesión Ordinaria,19ma Asamblea Legislativa,13,"Morán Trinidad, Nitza",A favor
Senado,2021-03-15,1ra Sesión Ordinaria,19ma Asamblea Legislativa,13,"Neumann Zayas, Henry",A favor
Senado,2021-03-15,1ra Sesión Ordinaria,19ma Asamblea Legislativa,13,"Padilla Alvelo, Migdalia",A favor
Senado,2021-03-15,1ra Sesión Ordinaria,19ma Asamblea Legislativa,13,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-03-15,1ra Sesión Ordinaria,19ma Asamblea Legislativa,13,"Riquelme Cabrera, Keren",A favor
Senado,2021-03-15,1ra Sesión Ordinaria,19ma Asamblea Legislativa,13,"Rivera Lassén, Ana Irma",A favor
Senado,2021-03-15,1ra Sesión Ordinaria,19ma Asamblea Legislativa,13,"Rivera Schatz, Thomas",En contra
Senado,2021-03-15,1ra Sesión Ordinaria,19ma Asamblea Legislativa,13,"Rodriguez Veve, Joanne",A favor
Senado,2021-03-15,1ra Sesión Ordinaria,19ma Asamblea Legislativa,13,"Rosa Vélez, Elizabeth",A favor
Senado,2021-03-15,1ra Sesión Ordinaria,19ma Asamblea Legislativa,13,"Ruiz Nieves, Ramón",A favor
Senado,2021-03-15,1ra Sesión Ordinaria,19ma Asamblea Legislativa,13,"Santiago Negrón, María de L.",A favor
