cuerpo,fecha,sesión,asamblea,número,votante,voto
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Aponte Dalmau, Javier",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Bernabe Riefkohl, Rafael",Abstenido
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Dalmau Santiago, José L.",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"García Montes, Ada",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"González Arroyo, Migdalia",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"González Huertas, Marially",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Hau, Gretchen",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Jiménez Santoni, Marissa",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Matias Rosario, Gregorio",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Morán Trinidad, Nitza",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Neumann Zayas, Henry",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Padilla Alvelo, Migdalia",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Riquelme Cabrera, Keren",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Rivera Lassén, Ana Irma",Abstenido
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Rivera Schatz, Thomas",En contra
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Rodriguez Veve, Joanne",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Rosa Vélez, Elizabeth",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Ruiz Nieves, Ramón",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Santiago Negrón, María de L.",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Soto Rivera, Rubén",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Torres Berríos, Albert",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Trujillo Plumey, Rosamar",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Vargas Vidot, José A.",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Villafañe Ramos, William E.",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Zaragoza Gomez, Juan",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Aponte Dalmau, Javier",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Dalmau Santiago, José L.",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"García Montes, Ada",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"González Arroyo, Migdalia",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"González Huertas, Marially",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Hau, Gretchen",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Jiménez Santoni, Marissa",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Matias Rosario, Gregorio",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Morán Trinidad, Nitza",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Neumann Zayas, Henry",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Padilla Alvelo, Migdalia",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Riquelme Cabrera, Keren",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Rivera Lassén, Ana Irma",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Rivera Schatz, Thomas",En contra
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Rodriguez Veve, Joanne",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Rosa Vélez, Elizabeth",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Ruiz Nieves, Ramón",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Santiago Negrón, María de L.",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Soto Rivera, Rubén",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Torres Berríos, Albert",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Trujillo Plumey, Rosamar",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Vargas Vidot, José A.",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Villafañe Ramos, William E.",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Zaragoza Gomez, Juan",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Aponte Dalmau, Javier",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"Dalmau Santiago, José L.",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"García Montes, Ada",A favor
Senado,2021-02-22,1ra Sesión Ordinaria,19ma Asamblea Legislativa,8,"González Arroyo, Migdalia",A favor
