cuerpo,fecha,sesión,asamblea,número,votante,voto
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Aponte Dalmau, Javier",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Dalmau Santiago, José L.",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"García Montes, Ada",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"González Arroyo, Migdalia",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"González Huertas, Marially",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Hau, Gretchen",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Jiménez Santoni, Marissa",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Matias Rosario, Gregorio",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Morán Trinidad, Nitza",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Neumann Zayas, Henry",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Padilla Alvelo, Migdalia",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Riquelme Cabrera, Keren",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Rivera Lassén, Ana Irma",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Rivera Schatz, Thomas",Ausente
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Rodriguez Veve, Joanne",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Rosa Vélez, Elizabeth",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Ruiz Nieves, Ramón",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Santiago Negrón, María de L.",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Soto Rivera, Rubén",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Torres Berríos, Albert",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Trujillo Plumey, Rosamar",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Vargas Vidot, José A.",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Villafañe Ramos, William E.",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Zaragoza Gomez, Juan",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Aponte Dalmau, Javier",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Dalmau Santiago, José L.",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"García Montes, Ada",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"González Arroyo, Migdalia",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"González Huertas, Marially",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Hau, Gretchen",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Jiménez Santoni, Marissa",En contra
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Matias Rosario, Gregorio",En contra
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Morán Trinidad, Nitza",En contra
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Neumann Zayas, Henry",En contra
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Padilla Alvelo, Migdalia",En contra
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Ríos Santiago, Carmelo J.",En contra
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Riquelme Cabrera, Keren",En contra
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Rivera Lassén, Ana Irma",A favor
Senado,2021-02-01,1ra Sesión Ordinaria,19ma Asamblea Legislativa,4,"Rivera Schatz, Thomas",Ausente
