cuerpo,fecha,sesión,asamblea,número,votante,voto
Senado,2021-02-25,1ra Sesión Ordinaria,19ma Asamblea Legislativa,9,"Aponte Dalmau, Javier",A favor
Senado,2021-02-25,1ra Sesión Ordinaria,19ma Asamblea Legislativa,9,"Bernabe Riefkohl, Rafael",A favor
Senado,2021-02-25,1ra Sesión Ordinaria,19ma Asamblea Legislativa,9,"Dalmau Santiago, José L.",A favor
Senado,2021-02-25,1ra Sesión Ordinaria,19ma Asamblea Legislativa,9,"García Montes, Ada",A favor
Senado,2021-02-25,1ra Sesión Ordinaria,19ma Asamblea Legislativa,9,"González Arroyo, Migdalia",A favor
Senado,2021-02-25,1ra Sesión Ordinaria,19ma Asamblea Legislativa,9,"González Huertas, Marially",A favor
Senado,2021-02-25,1ra Sesión Ordinaria,19ma Asamblea Legislativa,9,"Hau, Gretchen",A favor
Senado,2021-02-25,1ra Sesión Ordinaria,19ma Asamblea Legislativa,9,"Jiménez Santoni, Marissa",A favor
Senado,2021-02-25,1ra Sesión Ordinaria,19ma Asamblea Legislativa,9,"Matias Rosario, Gregorio",A favor
Senado,2021-02-25,1ra Sesión Ordinaria,19ma Asamblea Legislativa,9,"Morán Trinidad, Nitza",A favor
Senado,2021-02-25,1ra Sesión Ordinaria,19ma Asamblea Legislativa,9,"Neumann Zayas, Henry",A favor
Senado,2021-02-25,1ra Sesión Ordinaria,19ma Asamblea Legislativa,9,"Padilla Alvelo, Migdalia",A favor
Senado,2021-02-25,1ra Sesión Ordinaria,19ma Asamblea Legislativa,9,"Ríos Santiago, Carmelo J.",A favor
Senado,2021-02-25,1ra Sesión Ordinaria,19ma Asamblea Legislativa,9,"Riquelme Cabrera, Keren",A favor
Senado,2021-02-25,1ra Sesión Ordinaria,19ma Asamblea Legislativa,9,"Rivera Lassén, Ana Irma",A favor
Senado,2021-02-25,1ra Sesión Ordinaria,19ma Asamblea Legislativa,9,"Rivera Schatz, Thomas",En contra
Senado,2021-02-25,1ra Sesión Ordinaria,19ma Asamblea Legislativa,9,"Rodriguez Veve, Joanne",A favor
Senado,2021-02-25,1ra Sesión Ordinaria,19ma Asamblea Legislativa,9,"Rosa Vélez, Elizabeth",A favor
Senado,2021-02-25,1ra Sesión Ordinaria,19ma Asamblea Legislativa,9,"Ruiz Nieves, Ramón",A favor
Senado,2021-02-25,1ra Sesión Ordinaria,19ma Asamblea Legislativa,9,"Santiago Negrón, María de L.",A favor
Senado,2021-02-25,1ra Sesión Ordinaria,19ma Asamblea Legislativa,9,"Soto Rivera, Rubén",A favor
Senado,2021-02-25,1ra Sesión Ordinaria,19ma Asamblea Legislativa,9,"Soto Tolentino, Wanda (Wandy)",A favor
Senado,2021-02-25,1ra Sesión Ordinaria,19ma Asamblea Legislativa,9,"Torres Berríos, Albert",A favor
Senado,2021-02-25,1ra Sesión Ordinaria,19ma Asamblea Legislativa,9,"Trujillo Plumey, Rosamar",A favor
Senado,2021-02-25,1ra Sesión Ordinaria,19ma Asamblea Legislativa,9,"Vargas Vidot, José A.",A favor
Senado,2021-02-25,1ra Sesión Ordinaria,19ma Asamblea Legislativa,9,"Villafañe Ramos, William E.",A favor
Senado,2021-02-25,1ra Sesión Ordinaria,19ma Asamblea Legislativa,9,"Zaragoza Gomez, Juan",A favor
Senado,2021-02-25,1ra Sesión Ordinaria,19ma Asamblea Legislativa,9,"Aponte Dalmau, Javier",A favor
Senado,2021-02-25,1ra Sesión Ordinaria,19ma Asamblea Legislativa,9,"Bernabe Riefkohl, Rafael",A favor
